Disease_Code,Name,Symptoms,Treatments,Chronic,Contagious
D242,Lead Poisoning," abdominal pain,  anemia,  developmental delays (in children),  joint pain,  memory loss or cognitive difficulties, Fatigue"," addressing complications (such as anemia),  chelation therapy (in severe cases),  medication to manage symptoms,  supportive care, Removal of lead source",True,True
D243,Actinic Keratosis," scaly patches on the skin,  usually in sun-exposed areas, Rough"," cryotherapy,  curettag,  diclofenac),  fluorouracil,  imiquimod, Topical medications (e.g.",True,False
D244,Choledocholithiasis," Cholecystectomy ,  dark urine,  endoscopic retrograde cholangiopancreatography (ERCP) with stone removal,  jaundice,  nausea,  pale stools,  sphincterotomy,  vomiting, Abdominal pain (often in the upper right quadrant)"," antibiotics, Non-surgical treatment options: Medications to manage pain and discomfort",True,False
D245,Head and Neck Cancer," difficulty swallowing,  ear pain,  neck mass,  voice changes,  weight loss, Persistent sore throat"," and may include surgery,  chemotherapy,  immunotherapy,  radiation therapy,  targeted therapy, Treatment depends on the specific type and stage of cancer",True,True
D246,Sjögren's syndrome," dry skin,  fatigue,  joint pain, Dry mouth and eyes"," frequent sips of water,  immune-modulating drugs,  medications to stimulate saliva production,  saliva substitutes, Symptomatic relief with artificial tears",True,True
D247,Peritonitis," bloating,  fever,  increased heart rate,  loss of appetite,  nausea,  tenderness,  vomiting, Severe abdominal pain"," drainage or removal of any underlying fluid or abscess,  intravenous fluids to restore hydration,  surgery to repair or remove the source of infection, Intravenous antibiotics to treat the infection",False,True
D248,Anemia of Chronic Disease," decreased exercise tolerance,  pale skin,  shortness of breath,  weakness, Fatigue"," addressing nutritional deficiencies,  blood transfusions (in severe cases), Treating the underlying chronic disease",True,True
D249,Ovarian Torsion," abdominal tenderness,  abnormal bleeding or spotting,  bloating,  fever,  nausea,  pain during intercourse,  rapid heartbeat,  sharp or stabbing pain,  swelling,  vomiting, Sudden and severe abdominal or pelvic pain on one side"," imaging tests (such as ultrasound or CT scan) to diagnose torsion,  pain management (medications for pain relief),  removal of the ovary (if it is damaged or non-viable),  surgical intervention (laparoscopic or open surgery) to untwist the ovary and restore blood flow, Emergency medical attention (as ovarian torsion is a medical emergency)",True,True
D250,Lupus," fatigue,  skin rashes, Joint pain"," immunosuppressants),  lifestyle modifications, Medications (anti-inflammatory",True,True
D251,Neonatal Jaundice," dark urine,  pale stools, Yellowing of the skin and eyes"," addressing underlying causes (e.g.,  breastfeeding),  exchange transfusion (in severe cases),  monitoring of bilirubin levels, Phototherapy",True,False
D252,Gastrointestinal Hemorrhage," bloody or black stools,  vomiting blood, Abdominal pain"," endoscopy,  medications to stop bleeding,  surgery (in severe cases), Blood transfusions",True,False
D253,Dislocation of the Ankle," inability to bear weight,  severe pain, Swelling"," immobilization,  rehab, Reduction (realigning the bones)",False,False
D254,Vaginal Cyst," discomfort or pain during intercourse, Small lump or swelling in the vaginal wall"," sitz baths,  surgical removal (if necessary),  warm compresses, Observation (if asymptomatic)",False,False
D255,Orthorexia Nervosa," healthy food choices, Obsessive focus on ""clean"" eating"," addressing underlying issues,  challenging distorted beliefs,  nutrition education, Psychotherapy (such as cognitive-behavioral therapy or acceptance and commitment therapy)",True,False
D256,Urinary Tract Infection (UTI)," burning sensation during urination,  cloudy or bloody urine,  cloudy urine,  frequent urination,  pelvic pain, Frequent urination, Painful urination"," increased fluid intake,  maintaining good hygiene,  pain relievers,  urine culture and sensitivity testing to guide antibiotic selection, Antibiotics, Antibiotics safe for pregnancy",False,False
D257,Placenta Previa," painless bleeding in the third trimester, Vaginal bleeding"," avoiding strenuous activity,  frequent prenatal check-ups,  potential cesarean delivery,  potential hospitalization, Bed rest",False,False
D258,Acute Pancreatitis," fever,  jaundice,  nausea,  rapid pulse,  swollen and tender abdomen,  vomiting, Severe upper abdominal pain"," bowel rest,  intravenous fluids to restore hydration,  medications to control pain and inflammation,  nutritional support,  pain management, Hospitalization",True,True
D259,Gum Disease," bleeding gums,  red,  tender gums, Swollen"," flossing),  medications,  professional dental cleanings,  surgical interventions, Oral hygiene practices (brushing",True,False
D260,Panic Attack," palpitations,  shortness of breath, Chest pain"," relaxation techniques,  therapy, Breathing exercises",True,False
D261,Lice,Itching and visible presence of lice or nits (eggs) in the hair," avoiding direct head-to-head contact with infested individuals,  disinfection of personal items that cannot be washed or dried,  education and prevention strategies,  manual removal of lice and nits using a fine-toothed comb,  vacuuming of upholstery and household surfaces,  washing and drying of infested clothing and bedding at high temperatures, Over-the-counter or prescription medications specifically designed to kill lice (such as pediculicides)",True,False
D262,Pyloric stenosis," Dehydration,  Fussiness ,  Palpable mass,  Visible peristalsis,  Weight loss, Persistent hunger"," Blood tests,  Pyloromyotomy, Ultrasound",False,False
D263,Pigmentary Glaucoma," eye pain,  halos around lights, Blurred vision"," alpha agonists,  beta blockers,  carbonic anhydrase inhibitors),  glaucoma drainage implants),  laser trabeculoplasty,  prostaglandin analogs,  surgical procedures (e.g.,  trabeculectomy, Eye drops to lower intraocular pressure (e.g.",False,False
D264,Abscess," fever,  pain,  pus formation,  redness, Swelling"," surgical drainage, Antibiotics",False,True
D265,Myositis," inflammation,  pain, Muscle weakness"," immunosuppressants),  physical therapy, Medications (corticosteroids",True,False
D266,Von Willebrand Disease," bleeding gums,  blood in urine or stool,  frequent nosebleeds,  heavy or prolonged menstrual periods,  prolonged or excessive bleeding from cuts or injuries, Easy or excessive bruising"," avoiding certain medications,  dental care precautions,  oral contraceptives (for women with heavy menstrual bleeding),  regular medical follow-up,  replacement therapy with von Willebrand factor (VWF) concentrate or cryoprecipitate, Desmopressin (DDAVP) medication",True,False
D267,Gastroparesis," abdominal pain,  bloating,  early satiety,  poor appetite,  vomiting, Nausea"," frequent meals; low-fiber,  low-fat diet),  managing underlying cause if possible,  medication to promote gastric emptying, Dietary modifications (small",True,False
D268,Chancroid," swollen lymph nodes in the groin, Painful ulcers or sores on the genital area"," good hygiene,  pain management,  warm compresses, Antibiotics (such as azithromycin or ceftriaxone)",False,False
D269,Fungal Infection of the Skin," itching,  peeling skin,  redness, Rash"," or oral medications,  powders,  proper hygiene and skin care, Antifungal creams",True,False
D270,Stimulant Use Disorder," decreased appetite,  euphoria,  increased heart rate and blood pressure,  insomnia,  irritability,  paranoia,  psychosis (in severe cases),  restlessness, Increased energy and alertness"," addressing co-occurring mental health conditions,  addressing underlying psychological or social factors,  harm reduction strategies,  lifestyle changes,  medication (if applicable),  motivational interviewing),  ongoing monitoring and support,  support groups, Counseling or therapy (such as cognitive-behavioral therapy",True,False
D271,Chronic Fatigue Syndrome," cognitive difficulties,  unrefreshing sleep, Extreme fatigue"," and other symptoms),  cognitive-behavioral therapy,  graded exercise therapy,  medications for specific symptoms,  nutritional support,  pacing and energy conservation,  sleep disturbances,  sleep management techniques,  stress reduction techniques, Symptom management (such as medications to address pain",True,True
D272,Threatened Pregnancy," abdominal cramps,  pelvic pain, Vaginal bleeding"," avoiding activities that may stress the pregnancy,  medications (progesterone),  monitoring, Bed rest",True,False
D273,Chronic Glaucoma," eye pain or discomfort,  halos around lights,  peripheral vision impairment, Gradual vision loss"," implantable devices),  laser therapy,  oral medications,  regular eye exams,  surgery (trabeculectomy, Eye drops (to reduce intraocular pressure)",True,False
D274,Urticaria (Hives)," itchy welts on the skin, Raised"," avoiding triggers,  corticosteroids (in severe cases), Antihistamines",False,False
D275,Vitreous Hemorrhage," blurry vision,  eye pain, Floaters in vision"," laser treatment,  vitrectomy (in severe cases), Observation",False,False
D276,Binge Eating Disorder,Recurrent episodes of binge eating without compensatory behaviors," medications (in some cases),  nutritional counseling,  support groups, Psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy)",True,False
D277,Hypercholesterolemia," chest pain or angina,  fatty deposits (xanthomas) on the skin or tendons,  heart attacks,  strokes, High levels of cholesterol in the blood"," management of underlying conditions (such as diabetes or high blood pressure),  medications to lower cholesterol levels (such as statins),  potential additional treatments (such as bile acid sequestrants or PCSK9 inhibitors),  regular exercise,  regular monitoring of cholesterol levels,  smoking cessation),  weight management, Lifestyle modifications (healthy diet",True,False
D278,Stress Incontinence,Unintentional urine leakage during physical activity," behavioral techniques,  surgery (in severe cases), Pelvic floor exercises",False,False
D279,Labyrinthitis," dizziness,  ear pain,  hearing loss,  nausea, Vertigo"," antivirals),  vestibular rehabilitation therapy, Medications (antibiotics",True,False
D280,Dysthymic Disorder," changes in sleep and appetite),  lack of interest,  lasting for at least two years, Persistent depressive symptoms (low mood"," antidepressant medications,  interpersonal therapy), Psychotherapy (cognitive-behavioral therapy",True,False
D281,Ethylene glycol poisoning-1," General malaise,  Increased thirst,  abdominal pain,  frequent urination,  vomiting,  weakness, Nausea"," Antidote Administration,  Gastric Decontamination,  Hemodialysis, Supportive Measures",False,False
D282,Impulse Control Disorder," difficulty resisting urges,  gambling,  stealing), Impulsive behaviors (e.g."," behavioral interventions,  medication (in some cases),  support groups, Psychotherapy",True,False
D283,Intracranial Hemorrhage," changes in vision,  loss of consciousness,  nausea or vomiting,  seizures, Severe headache"," medications to control bleeding and manage symptoms,  surgery (if needed), Emergency medical attention",True,False
D284,Postpartum Depression," changes in appetite or sleep patterns,  difficulty bonding with the baby,  emptiness,  feelings of guilt or worthlessness,  frequent crying,  irritability,  loss of interest or pleasure in activities,  or hopelessness,  overwhelming fatigue,  thoughts of self-harm or harming the baby,  trouble concentrating or making decisions, Persistent feelings of sadness"," antidepressant medication (if recommended by a healthcare professional),  healthy diet,  hormone therapy (in some cases),  involving a partner or family in the care of the baby,  lifestyle changes (such as exercise,  regular follow-up and monitoring by healthcare professionals,  sleep hygiene),  social support and understanding from family and friends,  support groups or peer counseling, Psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy)",True,True
D285,Injury to the Leg," bruising,  difficulty walking,  swelling, Pain"," Compression,  Elevation),  Ice,  pain medications,  physical therapy, R.I.C.E. (Rest",True,False
D286,Stroke," arm,  confusion,  or leg (typically on one side of the body),  severe headache,  trouble speaking or understanding, Sudden numbness or weakness of the face"," addressing underlying risk factors,  anticoagulants),  exercise,  lifestyle modifications (diet,  medication (clot-busting drugs,  rehabilitation (physical therapy,  smoking cessation),  speech therapy),  supportive care, Emergency medical attention",True,False
D287,Huntington Disease," and psychiatric symptoms,  cognitive, Motor"," medications (to manage symptoms),  therapy, Supportive care",True,False
D288,Mononucleosis," sore throat,  swollen lymph nodes, Fatigue"," fluids,  pain relievers,  symptom management, Rest",False,True
D289,Hallucinogen Use Disorder," anxiety or paranoia (in some individuals),  changes in sensory experiences,  feelings of connection or disconnection,  flashbacks (in some individuals),  introspective thoughts,  visual or auditory hallucinations, Altered perception of reality"," addressing underlying psychological or social factors,  harm reduction strategies,  motivational interviewing),  ongoing monitoring and support,  support groups, Counseling or therapy (such as cognitive-behavioral therapy",True,False
D290,Ependymoma," changes in coordination or balance,  nausea,  seizures, Headaches"," chemotherapy,  radiation therapy,  rehabilitation,  targeted therapy, Surgery",True,False
D291,Lymphoma," fatigue,  unexplained weight loss, Swollen lymph nodes"," immunotherapy,  radiation therapy,  targeted therapy, Chemotherapy",True,True
D292,Transient ischemic attack,Sudden onset of neurological symptoms that resolve within 24 hours,"  Anticoagulant medications,  Carotid endarterectomy,  Lifestyle modifications, Antiplatelet medications",True,False
D293,Normal-Tension Glaucoma," visual field defects, Gradual loss of vision"," alpha agonists,  beta blockers,  carbonic anhydrase inhibitors),  glaucoma drainage implants),  laser trabeculoplasty,  oral medications (e.g.,  prostaglandin analogs,  surgical procedures (e.g.,  trabeculectomy, Eye drops to lower intraocular pressure (e.g.",True,False
D294,Thyroid Disease," dry skin,  mood swings,  weight changes, Fatigue"," antithyroid drugs),  radioactive iodine therapy,  surgery (in some cases), Medications (thyroid hormone replacement",True,True
D295,Bladder Cancer," frequent urination,  pelvic pain, Blood in urine"," chemotherapy,  radiation therapy, Surgery",True,False
D296,Fracture of the Arm," bruising,  deformity,  limited mobility or difficulty moving the arm,  swelling, Pain"," pain management,  physical therapy,  surgery (in complex fractures), Immobilization (cast or splint)",True,False
D297,Kidney Failure," chest pain,  confusion,  fatigue,  fluid retention,  nausea,  seizures,  shortness of breath, Decreased urine output"," and potassium),  dialysis (hemodialysis or peritoneal dialysis) or kidney transplantation (in end-stage kidney failure),  dietary modifications (restricting salt,  healthy diet),  lifestyle modifications (exercise,  management of fluid and electrolyte balance,  protein,  quitting smoking,  treatment of complications, Treatment depends on the underlying cause and may include medications to manage blood pressure and symptoms",True,True
D298,Chagas Disease," body aches,  fatigue,  heart and digestive problems, Fever"," medications to manage symptoms,  supportive care, Antiparasitic medications",True,True
D299,Leukemia," easy bleeding or bruising,  frequent infections,  pale skin, Fatigue"," radiation therapy,  stem cell transplant,  supportive care,  targeted therapy, Chemotherapy",True,True
D300,Vesicoureteral Reflux," bedwetting (in children),  high blood pressure (in severe cases),  urinary urgency or frequency, Frequent urinary tract infections"," bladder training exercises,  surgical correction (in some cases), Antibiotics",False,False
D301,Psoriasis," itching,  scaly patches on the skin, Red"," immunosuppressants),  phototherapy,  salicylic acid),  systemic medications (retinoids, Topical treatments (corticosteroids",True,False
D302,Infection of Open Wound," fever,  malaise,  pain or tenderness at the wound site,  pus or drainage from the wound,  swelling,  warmth, Redness"," antibiotic therapy (oral or intravenous),  tetanus prophylaxis,  wound debridement (if necessary),  wound dressings, Cleaning and irrigation of the wound",True,True
D303,Anemia," pale skin,  shortness of breath,  weakness, Fatigue"," dietary changes (iron-rich foods),  managing underlying causes (such as treating iron deficiency or vitamin B12 deficiency),  prenatal vitamins, Iron supplementation",False,True
D304,Spondylosis," limited range of motion,  numbness or weakness in the extremities,  stiffness, Neck or back pain"," exercise,  heat or cold therapy,  muscle relaxants),  physical therapy,  posture improvement,  spinal injections,  surgery (in severe cases or if conservative treatments fail), Medications (pain relievers",True,False
D305,Acute Otitis Media," fever,  fluid drainage from the ear,  hearing loss or muffled hearing in the affected ear, Ear pain"," acetaminophen,  ear drops,  ibuprofen),  pain relievers (e.g.,  tympanostomy tubes (in some cases),  warm compresses, Antibiotics",False,True
D306,Fracture," Bruising,  Deformity,  Difficulty moving,  Loss of function,  Swelling, Pain"," Rehabilitation,  Surgery, Immobilization",False,False
D307,Round Ligament Pain,Sharp or aching pain in the lower abdomen or groin," avoiding sudden movements,  changing positions slowly,  gentle stretching,  warm compresses, Resting",False,False
D308,Autism," communication difficulties,  restricted interests or repetitive behaviors, Challenges with social interaction"," educational interventions,  medications for associated symptoms,  speech and language therapy, Behavioral therapy",True,False
D309,Pleomorphic adenoma," Facial changes, Painless lump or swelling",Surgical excision,False,False
D310,Otosclerosis," dizziness or balance problems,  tinnitus (ringing in the ears), Hearing loss (gradual and progressive)"," communication strategies and support (such as lip-reading or sign language),  regular hearing assessments,  sodium fluoride therapy (to slow down the progression of the condition),  surgical interventions (such as stapedectomy or stapedotomy to replace the affected bone in the middle ear), Hearing aids",True,False
D311,Bulimia Nervosa,Recurrent episodes of binge eating followed by purging behaviors," medications (in some cases),  nutritional counseling,  support groups, Psychotherapy (such as cognitive-behavioral therapy or dialectical behavior therapy)",True,False
D312,Poisoning due to Analgesics," abdominal pain,  confusion,  dizziness,  liver or kidney damage,  respiratory distress,  vomiting, Nausea"," activated charcoal administration,  antidote (if available),  supportive care,  treatment for complications, Immediate medical attention",False,False
D313,Pseudohypoparathyroidism," rounded face,  short stature,  tetany (muscle spasms), Hypocalcemia (low calcium levels)"," hormone replacement therapy (if necessary),  management of complications, Calcium and vitamin D supplementation",True,False
D314,Anemia due to Malignancy," pale skin,  shortness of breath,  weakness, Fatigue"," blood transfusions,  iron supplements),  medications (erythropoiesis-stimulating agents, Treating underlying malignancy",True,True
D315,Hyperhidrosis," may interfere with daily activities,  soles,  typically in specific areas (such as palms,  underarms), Excessive sweating (beyond what is necessary for temperature regulation)"," Botox injections,  beta blockers),  iontophoresis,  medications (anticholinergics,  surgical interventions (sympathectomy,  sweat gland removal), Antiperspirants",True,False
D316,Otitis Media," fever,  fluid drainage from the ear, Ear pain"," observation (in some cases),  pain relievers, Antibiotics (if bacterial infection)",False,True
D317,Benign Kidney Cyst," blood in urine,  frequent urination, Abdominal or flank pain"," medication (if needed),  surgery (in rare cases), Observation",True,False
D318,Pain after an Operation," discomfort,  swelling, Surgical site pain"," ice packs,  rest,  wound care, Pain medications",True,False
D319,Chronic Knee Pain," limited range of motion,  stiffness,  swelling, Persistent knee pain"," knee braces or supports,  lifestyle modifications,  physical therapy, Pain management",True,False
D320,Volvulus," bloating,  bloody stool,  constipation,  nausea,  vomiting, Abdominal pain",Emergency surgery to untwist the affected organ and restore blood flow,False,False
D321,Scurvy," joint pain,  swollen and bleeding gums, Fatigue"," dietary changes,  oral hygiene maintenance, Vitamin C supplementation",False,True
D322,Urinary Stones (Kidney Stones)," blood in urine,  frequent urination,  pain during urination, Severe abdominal or back pain"," increased fluid intake,  medications to help pass the stones,  procedures or surgery, Pain management",True,False
D323,Injury to the Finger," bruising,  deformity,  difficulty gripping or using the finger,  restricted range of motion,  swelling, Pain"," Compression,  Elevation),  Ice,  pain medication,  physical therapy,  splinting,  surgery (in severe cases), RICE method (Rest",True,False
D324,Retinal Detachment," curtain-like shadow over vision,  flashes of light,  sudden vision loss, Floaters (spots or cobweb-like shapes in vision)"," cryotherapy,  gas or silicone oil injection,  laser therapy,  positioning,  regular eye exams,  scleral buckle,  vitrectomy), Surgical intervention (pneumatic retinopexy",True,False
D325,Chronic Rheumatic Fever," fever,  heart inflammation,  rash, Joint pain"," anti-inflammatory medications,  medications for heart complications, Antibiotics (to treat streptococcal infections)",True,True
D326,Acute Bronchospasm," chest tightness,  shortness of breath, Wheezing"," corticosteroids,  supplemental oxygen (if needed), Bronchodilators (inhaled medications)",True,False
D327,Vulvodynia," burning,  itching,  rawness,  stinging, Persistent pain or discomfort in the vulva"," alternative therapies (such as acupuncture or herbal remedies),  biofeedback,  cognitive-behavioral therapy (CBT),  medications (such as tricyclic antidepressants or anticonvulsants),  nerve blocks,  physical therapy (including pelvic floor muscle relaxation exercises),  stress management techniques,  vulvar care and hygiene practices, Topical medications (such as lidocaine or estrogen creams)",True,False
D328,Other Specified Feeding or Eating Disorder (OSFED),Symptoms that do not meet the full criteria for a specific eating disorder," and medications as necessary,  medical monitoring,  nutritional counseling, Treatment is based on the specific symptoms and can include a combination of psychotherapy",True,False
D329,Anemia due to Chronic Kidney Disease," pale skin,  weakness, Fatigue"," blood transfusions (in severe cases),  iron supplementation, Erythropoiesis-stimulating agents (ESA)",False,True
D330,Pemphigus,Painful blisters on the skin and mucous membranes," immunosuppressants,  wound care, Corticosteroids",False,False
D331,Syphilis," and other organs,  brain,  fever,  latent stage: no symptoms,  secondary stage: skin rash,  sore throat,  swollen lymph nodes,  tertiary stage: severe complications affecting the heart, Primary stage: painless sores (chancre) at the site of infection"," regular follow-up and testing,  treatment of complications, Antibiotics (usually penicillin)",False,True
D332,Omphalitis," discharge,  foul odor around the umbilical area,  swelling, Redness"," surgical intervention (in severe cases),  wound care, Antibiotics",False,False
D333,Idiopathic Nonmenstrual Bleeding," bleeding after menopause,  bleeding after sexual intercourse,  prolonged or heavy bleeding,  spotting or light bleeding between periods,  unpredictable bleeding episodes, Abnormal vaginal bleeding outside of the menstrual period"," counseling or support for emotional well-being,  dilation and curettage (if necessary to remove excessive tissue or investigate the cause),  endometrial ablation (in some cases),  hormonal therapy (such as birth control pills,  hormone replacement therapy),  hysteroscopy (to examine the uterus),  infections,  non-hormonal medications (such as tranexamic acid),  or uterine abnormalities),  polyps,  surgery (in rare cases), Evaluation to rule out underlying causes (such as hormonal imbalances",True,False
D334,Myofascial Pain Syndrome," trigger points, Localized muscle pain"," dry needling,  heat or cold therapy,  massage therapy,  medications (such as pain relievers,  muscle relaxants),  myofascial release,  relaxation techniques,  stress management,  trigger point injections, Physical therapy",True,False
D335,Vocal cord polyp," Vocal Changes,  Vocal Fatigue, Hoarseness"," Speech Therapy,  Surgical Removal, Voice Rest",True,True
D336,Rotator Cuff Injury," limited range of motion,  shoulder stiffness,  weakness or loss of strength, Shoulder pain"," Arthroscopic surgery,  ice or heat therapy,  pain medications,  physical therapy exercises, Non-surgical treatment options: Rest",True,False
D337,Fibromyalgia," cognitive difficulties (fibro fog),  fatigue,  mood changes,  sleep disturbances, Widespread musculoskeletal pain"," and anticonvulsants),  anticonvulsants),  antidepressants,  cognitive-behavioral therapy,  exercise,  exercise programs,  good sleep hygiene,  occupational therapy,  physical therapy,  relaxation techniques,  stress management,  stress management techniques, Medications (such as pain relievers, Multidisciplinary approach: Medications for pain management (such as analgesics",True,True
D338,Hypercalcemia," excessive thirst,  kidney stones,  nausea, Fatigue"," hydration,  medications, Treating underlying cause",True,True
D339,Secondary Glaucoma,Varies depending on the underlying cause," inflammation control),  medication adjustments,  surgery,  trauma management,  tumor removal, Treatment of the underlying condition (e.g.",True,False
D340,Drug Reaction," fever,  itching,  respiratory symptoms,  swelling, Rash"," antihistamines,  corticosteroids (in severe cases),  supportive care, Discontinuation of the offending drug",False,True
D341,Acute Sinusitis," cough,  fatigue,  fever (in some cases),  headache,  nasal congestion,  post-nasal drip,  thick nasal discharge, Facial pain or pressure"," avoidance of irritants (such as smoke or allergens),  management of underlying causes (such as allergies or nasal polyps),  nasal corticosteroids (to reduce inflammation),  nasal decongestants (for short-term use),  over-the-counter pain relievers (such as acetaminophen or ibuprofen),  plenty of fluids and rest,  prescription antibiotics (if bacterial infection is suspected or confirmed),  steam inhalation),  symptom relief medications (such as cough suppressants or antihistamines),  warm compresses, Home remedies (such as nasal saline irrigation",True,True
D342,Polycystic Ovarian Syndrome," acne,  excessive hair growth,  ovarian cysts,  weight gain, Irregular periods"," exercise,  fertility treatments (if needed),  hormonal contraceptives,  weight management), Lifestyle changes (diet",True,False
D343,Optic Neuritis," color vision impairment,  eye pain with eye movement,  flashing lights or floaters, Vision loss or blurry vision"," symptom management,  treatment of underlying cause,  visual rehabilitation, High-dose intravenous corticosteroids",False,False
D344,Adrenal Cancer," hormonal imbalances,  unexplained weight loss, Abdominal or back pain"," chemotherapy,  hormone replacement therapy,  radiation therapy,  targeted therapy, Surgery (adrenalectomy)",True,False
D345,Intracranial Abscess," fever,  neurological deficits, Headache"," supportive care,  surgical drainage or removal of the abscess, Antibiotics",False,True
D346,Adenoid cystic carcinoma," Facial numbness,  swelling,  tingling, Lump"," Radiation therapy, Surgery",True,False
D347,Fracture of the Patella," bruising,  deformity,  difficulty straightening or bending the knee,  swelling, Severe pain"," cast,  exercises to restore mobility and strength,  or brace),  pain management,  physical therapy,  potential surgical intervention (in severe cases or if displacement is present), Immobilization (splint",True,False
D348,Restless Leg Syndrome," urge to move legs for relief,  usually in the evening or at night, Uncomfortable sensation in the legs"," anticonvulsants,  avoiding triggers like caffeine),  good sleep hygiene (maintaining a regular sleep schedule),  hot or cold packs,  iron supplementation (if iron deficiency is present),  leg massages or stretching exercises,  medication therapy (such as dopamine agonists,  opioids), Lifestyle changes (such as regular exercise",True,False
D349,Cold Sore," painful blisters on the lips or around the mouth, Small"," antiviral creams,  pain relievers,  self-care measures, Antiviral medications (topical or oral)",True,False
D350,Chronic Kidney Disease," blood in urine,  decreased appetite,  difficulty concentrating,  high blood pressure,  increased urination or urine changes,  swelling of the legs or ankles, Fatigue"," dialysis (in advanced stages),  education and support for self-care,  kidney transplant (in end-stage kidney disease),  lifestyle modifications (such as healthy diet,  management of associated complications (such as anemia or bone disease),  medications (such as ACE inhibitors or diuretics),  regular exercise,  regular monitoring and follow-up with a nephrologist,  smoking cessation), Management of underlying conditions (such as diabetes or high blood pressure)",True,True
D351,Goiter," difficulty swallowing or breathing,  swelling or visible protrusion, Enlarged thyroid gland in the neck"," radioactive iodine therapy,  surgery), Treatment depends on the underlying cause (medication",True,False
D352,Type 1 Diabetes," Increased thirst,  Weight loss, Frequent urination"," Blood sugar monitoring,  Healthy eating,  Regular exercise, Insulin therapy",True,False
D353,Dislocation of the Elbow," inability to move the elbow,  numbness or tingling in the hand/arm,  swelling,  visible deformity, Severe pain"," immobilization (splint or cast),  pain management,  physical therapy,  surgical intervention (in complex or recurrent cases), Closed reduction (realigning the bones without surgery)",True,False
D354,Rabies," anxiety,  confusion,  difficulty swallowing,  fatigue),  hallucinations,  headache, Flu-like symptoms (fever"," administration of rabies vaccine and immunoglobulin,  monitoring and management of symptoms,  supportive care,  wound care, Immediate medical attention (post-exposure prophylaxis)",True,True
D355,Contact Dermatitis," red rash caused by contact with irritants or allergens, Itchy"," antihistamines,  corticosteroid creams or ointments, Avoiding the trigger",False,False
D356,Hemophilia," prolonged bleeding from wounds or after dental work or surgery,  spontaneous bleeding in joints or muscles, Excessive bleeding and bruising"," genetic counseling and testing for family members,  joint protection measures,  medications to control bleeding,  physical therapy, Replacement therapy with clotting factor concentrates",True,False
D357,Open Wound from Surgical Incision," discharge from the wound,  swelling, Redness"," antibiotics (if infection is present),  dressing changes),  surgical interventions, Wound care (cleaning",False,False
D358,Chronic Migraine," disabling migraines, Recurrent"," Botox injections,  acupuncture,  biofeedback,  cognitive-behavioral therapy,  lifestyle modifications (such as identifying triggers,  nerve blocks,  neuromodulation devices,  pain relievers,  regular sleep patterns),  relaxation techniques,  stress management,  triptans), Medications (such as preventive medications",True,False
D359,Hyperkalemia," irregular heartbeat or palpitations,  nausea or vomiting,  numbness or tingling, Muscle weakness or fatigue"," dialysis (in severe cases),  dietary modifications,  medications to reduce potassium levels, Treatment of underlying cause",True,True
D360,Bipolar Disorder," depressive episodes,  manic episodes, Mood swings"," antipsychotics),  therapy, Medications (mood stabilizers",True,False
D361,Sedatives Poisoning," confusion,  slowed breathing, Drowsiness"," antidote administration,  supportive care, Immediate medical attention",False,False
D362,Plantar Fasciitis," difficulty walking,  tenderness, Heel pain"," orthotic devices,  physiotherapy,  stretching exercises, Rest",True,False
D363,Priapism," painful erection, Persistent"," medication,  surgery), Medical intervention (aspiration",True,False
D364,Gestational Hypertension,High blood pressure without proteinuria (preeclampsia)," close monitoring by healthcare provider,  lifestyle modifications (such as salt restriction,  medication (such as antihypertensive drugs) if necessary,  regular exercise), Monitoring blood pressure",True,False
D365,Pyelonephritis," back or flank pain,  chills,  frequent urination, Fever"," adequate hydration,  cephalosporins,  hospitalization (for severe cases or complications),  or trimethoprim-sulfamethoxazole) to target the specific bacteria causing the infection,  pain management (such as over-the-counter pain relievers or prescription medications),  urine culture to guide antibiotic therapy, Antibiotics (such as fluoroquinolones",True,True
D366,Drug Abuse (Cocaine)," dilated pupils,  high blood pressure,  increased energy,  rapid heart rate,  risk of heart attack or stroke, Euphoria"," behavioral therapies,  counseling,  support groups, Medical detoxification",False,False
D367,Gout," redness,  swelling, Intense joint pain"," colchicine),  lifestyle changes, Medications (nonsteroidal anti-inflammatory drugs",True,False
D368,Narcolepsy," sudden loss of muscle tone (cataplexy), Excessive daytime sleepiness"," antidepressants,  lifestyle modifications,  scheduled naps, Stimulant medications",True,False
D369,Submandibular stones," bad taste,  dry mouth,  pain, Swelling"," Stone removal, Hydration, Saliva stimulation",False,False
D370,Dental Caries," bad breath,  dark spots on the teeth,  tooth sensitivity,  visible pits or holes in the teeth, Toothache"," crowns,  dental sealants (for prevention),  dietary modifications (reducing sugary and acidic foods and drinks),  education on proper oral care,  fluoride treatments,  oral hygiene practices (brushing and flossing),  regular dental check-ups,  root canal treatment,  tooth extraction (in severe cases), Dental fillings",False,False
